2025-08-30 21:38:22.185 [http-nio-0.0.0.0-8102-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-30 21:38:22.271 [http-nio-0.0.0.0-8102-exec-2] INFO  com.xyes.springboot.aop.LogInterceptor - request end, id: 0af31144-de5e-405c-9f75-e7426421ac13, cost: 639ms
2025-08-30 21:38:27.324 [http-nio-0.0.0.0-8102-exec-4] INFO  com.xyes.springboot.aop.LogInterceptor - request start，id: 0332b33c-3710-4f42-a0c5-331066847db1, path: /api/userAiMessage/add, ip: 0:0:0:0:0:0:0:1, params: [UserAiMessageAddRequest(userInputText=95新手机
, aiGenerateText=null, userId=1959122492976611329), org.springframework.session.web.http.SessionRepositoryFilter$SessionRepositoryRequestWrapper@5a51cc76]
2025-08-30 21:38:27.386 [http-nio-0.0.0.0-8102-exec-4] INFO  c.x.s.controller.UserAiMessageController - 用户 1959122492976611329 开始调用AI服务，输入内容: 95新手机

2025-08-30 21:38:27.585 [http-nio-0.0.0.0-8102-exec-4] INFO  c.x.s.controller.UserAiMessageController - 尝试使用SparkAIManager调用AI服务
2025-08-30 21:38:47.116 [http-nio-0.0.0.0-8102-exec-4] INFO  com.xyes.springboot.aop.LogInterceptor - request end, id: 0332b33c-3710-4f42-a0c5-331066847db1, cost: 19792ms
2025-08-30 21:39:24.660 [http-nio-0.0.0.0-8102-exec-3] INFO  com.xyes.springboot.aop.LogInterceptor - request start，id: 32248079-ae86-465f-8fbb-7c456dfaf427, path: /api/userAiMessage/add, ip: 0:0:0:0:0:0:0:1, params: [UserAiMessageAddRequest(userInputText=耳机
, aiGenerateText=null, userId=1959122492976611329), org.springframework.session.web.http.SessionRepositoryFilter$SessionRepositoryRequestWrapper@6c4de78e]
2025-08-30 21:39:24.719 [http-nio-0.0.0.0-8102-exec-3] INFO  c.x.s.controller.UserAiMessageController - 用户 1959122492976611329 开始调用AI服务，输入内容: 耳机

2025-08-30 21:39:24.777 [http-nio-0.0.0.0-8102-exec-3] INFO  c.x.s.controller.UserAiMessageController - 尝试使用SparkAIManager调用AI服务
2025-08-30 21:39:55.304 [http-nio-0.0.0.0-8102-exec-3] INFO  com.xyes.springboot.aop.LogInterceptor - request end, id: 32248079-ae86-465f-8fbb-7c456dfaf427, cost: 30644ms
2025-08-30 21:40:09.771 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
